min_name,agc_name,plan_name,output_name,objc_5,p_total_bud
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานบุคากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบบุคลากร,2000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานบุคากรภาครัฐ,รายการค่าใช้จ่ายบุคลากรภาครัฐ,งบดำเนินงาน,1000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,การดำรงสภาพความพร้อมในการป้องกันประเทศ,งบดำเนินงาน,1000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,การดำรงสภาพความพร้อมในการป้องกันประเทศ,งบลงทุน,500000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,โครงการพัฒนาไม้กายสิทธิ์,งบดำเนินงาน,1000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,โครงการพัฒนาไม้กายสิทธิ์,งบลงทุน,1000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,โครงการต่อต้านผู้ใช้ศาสตร์มืด,งบดำเนินงาน,1000000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,โครงการต่อต้านผู้ใช้ศาสตร์มืด,งบเงินอุดหนุน,700000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,การติดตามปริมาณประชากรเอลฟ์,งบดำเนินงาน,1200000
กระทวงเวทย์มนต์,สำนักงานปลัดกระทรวงเวทย์มนต์,แผนงานพื้นฐานด้านความมั่นคง,การติดตามปริมาณประชากรเอลฟ์,งบเงินอุดหนุน,500000
