error_message,budget_type,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,name_10,name_11,amount,document,page,fiscal_year,fiscal_year_end
,MINISTRY,กระทวงเวทย์มนต์,,,,,,,,,,,10_000_000,,1,,
,BUDGETARY_UNIT,,สำนักงานปลัดกระทรวงเวทย์มนต์,,,,,,,,,,4_000_000,pdfs/doc_1.pdf,2,,
,BUDGET_PLAN,,,7.1 แผนงานบุคากรภาครัฐ,,,,,,,,,3_000_000,pdfs/doc_1.pdf,5,,
,BUDGET_DETAIL,,,,1. งบบุคลากร,,,,,,,,2_000_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,1.1 เงินเดือนและค่าจ้างประจำ,,,,,,,1_500_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,1.1.1 เงินเดือน,,,,,,,1_200_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,,1.1.2 ค่าจ้างประจำ,,,,,,300_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,1.2 ค่าจ้างชั่วคราว,,,,,,,500_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,2. งบดำเนินงาน,,,,,,,1_000_000,pdfs/doc_1.pdf,6,,
,BUDGET_PLAN,,,7.1 แผนงานบุคากรภาครัฐ,,,,,,,,,3_000_000,pdfs/doc_1.pdf,5,,
,BUDGET_DETAIL,,,,1. งบบุคลากร,,,,,,,,2_000_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,1.1 เงินเดือนและค่าจ้างประจำ,,,,,,,,1_500_000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,1.2 ค่าจ้างชั่วคราว,,,,,,,,,500_000,pdfs/doc_1.pdf,6,,

