error_message,budget_type,name_1,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,name_10,name_11,amount,document,page,fiscal_year,fiscal_year_end
"ขาดชื่อเอกสาร (`document`). ยอดรวมรายการย่อยใต้รายการนี้ (3,999,999)ไม่ตรงกับงบของรายการนี้ (10,000,000). มีน้อยกว่าอยู่ 6,000,001",MINISTRY,กระทวงเวทย์มนต์,,,,,,,,,,,10000000,,1,,
" ยอดรวมรายการย่อยใต้รายการนี้ (6,000,000)ไม่ตรงกับงบของรายการนี้ (4,000,000). มีมากกว่าอยู่ 2,000,000",BUDGETARY_UNIT,,สำนักงานปลัดกระทรวงเวทย์มนต์,,,,,,,,,,4000000,pdfs/doc_1.pdf,2,,
,BUDGET_PLAN,,,7.1 แผนงานบุคากรภาครัฐ,,,,,,,,,3000000,pdfs/doc_1.pdf,5,,
,BUDGET_DETAIL,,,,1. งบบุคลากร,,,,,,,,2000000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,1.1 เงินเดือนและค่าจ้างประจำ,,,,,,,1500000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,,1.1.1 เงินเดือน,,,,,,1200000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,,1.1.2 ค่าจ้างประจำ,,,,,,300000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,1.2 ค่าจ้างชั่วคราว,,,,,,,500000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,2. งบดำเนินงาน,,,,,,,,1000000,pdfs/doc_1.pdf,6,,
,BUDGET_DETAIL,,,,,2.1 ค่าตอบแทน ใช้สอยและวัสดุ,,,,,,,1000000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,(1) ค่าเช่าบ้าน,,,,,,750000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,(2) ค่าฝ่าอันตรายเป็นครั้งคราว,,,,,,250000,pdfs/doc_1.pdf,7,,
,BUDGET_PLAN,,,7.2 แผนงานพื้นฐานด้านความมั่นคง,,,,,,,,,3000000,pdfs/doc_1.pdf,7,,
,OUTPUT,,,,ผลผลิต : การดำรงสภาพความพร้อมในการป้องกันประเทศ,,,,,,,,1500000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,1. งบดำเนินงาน,,,,,,,1000000,pdfs/doc_1.pdf,7,,
" ยอดรวมรายการย่อยใต้รายการนี้ (1,520,000)ไม่ตรงกับงบของรายการนี้ (750,000). มีมากกว่าอยู่ 770,000",BUDGET_DETAIL,,,,,,1.1 ค่าตอบแทน ใช้สอยและวัสดุ,,,,,,750000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,,(1) รายการไม่ผูกพัน,,,,,550000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,,,(1) ค่าตอบแทนการปฏิบัติงานนอกเวลาราชการ,,,,230000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,,,(2) ค่าตอบแทนเหมาจ่ายแทนการจัดหากุญแจประจำตำแหน่ง,,,,320000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,,(2) ค่าเช่าไม้กวาดขนาดเล็ก 5 ด้าม,,,,,200000,pdfs/doc_1.pdf,7,,
,FISCAL_YEAR_BUDGET,,,,,,,ปี 2567 ตั้งงบประมาณ,,,,,170000,pdfs/doc_1.pdf,7,,
,FISCAL_YEAR_BUDGET,,,,,,,ปี 2568 ตั้งงบประมาณ,,,,,200000,pdfs/doc_1.pdf,7,,
,FISCAL_YEAR_BUDGET,,,,,,,ปี 2569 ตั้งงบประมาณ,,,,,200000,pdfs/doc_1.pdf,7,,
,FISCAL_YEAR_BUDGET,,,,,,,ปี 2570 ตั้งงบประมาณ,,,,,200000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,1.2 ค่าสาธารณูปโภค,,,,,,250000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,2. งบลงทุน,,,,,,,500000,pdfs/doc_1.pdf,7,,
,PROJECT,,,,โครงการ : โครงการพัฒนาไม้กายสิทธิ์,,,,,,,,1500000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,1. งบดำเนินงาน,,,,,,,1000000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,1.1 ค่าตอบแทน ใช้สอยและวัสดุ,,,,,,450000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,,1.2 ค่าสาธารณูปโภค,,,,,,550000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,2. งบลงทุน,,,,,,,500000,pdfs/doc_1.pdf,7,,
"ขาดคอลลัมน์ที่มีชื่อขึ้นต้นด้วย `name_`.""amount"" ไม่ใช่ตัวเลข.",BUDGET_DETAIL,,<MISSING>,,,,,,,,,,-1,pdfs/doc_1.pdf,7,,
category level ควรเป็น OUTPUT หรือ PROJECT,BUDGET_DETAIL,,,,โครงการ : โครงการพัฒนาไม้กายสิทธิ์,,,,,,,,1500000,pdfs/doc_1.pdf,7,,
,BUDGET_DETAIL,,,,,1. งบดำเนินงาน,,,,,,,1000000,pdfs/doc_1.pdf,7,,
